Date,Product,Demand,Inventory,Price,Promotion,Festival,Temperature,Month,Weekday,Season
2024-03-01,Saffron,35,802,568,0,0,31,3,Friday,Summer
2024-03-02,Saffron,62,740,457,1,0,19,3,Saturday,Summer
2024-03-03,Saffron,42,698,646,0,0,33,3,Sunday,Summer
2024-03-04,Saffron,32,666,641,0,0,34,3,Monday,Summer
2024-03-05,Saffron,34,632,455,0,0,20,3,Tuesday,Summer
2024-03-06,Saffron,34,598,473,0,0,34,3,Wednesday,Summer
2024-03-07,Saffron,32,566,637,0,0,18,3,Thursday,Summer
2024-03-08,Saffron,34,532,609,0,0,18,3,Friday,Summer
2024-03-09,Saffron,48,484,503,0,0,20,3,Saturday,Summer
2024-03-10,Saffron,46,438,481,0,0,32,3,Sunday,Summer
2024-03-11,Saffron,53,385,579,1,0,34,3,Monday,Summer
2024-03-12,Saffron,60,325,625,1,0,24,3,Tuesday,Summer
2024-03-13,Saffron,36,289,475,0,0,20,3,Wednesday,Summer
2024-03-14,Saffron,37,252,462,0,0,24,3,Thursday,Summer
2024-03-15,Saffron,33,219,514,0,0,25,3,Friday,Summer
2024-03-16,Saffron,41,178,515,0,0,36,3,Saturday,Summer
2024-03-17,Saffron,51,806,507,0,0,34,3,Sunday,Summer
2024-03-18,Saffron,35,771,637,0,0,22,3,Monday,Summer
2024-03-19,Saffron,34,737,509,0,0,29,3,Tuesday,Summer
2024-03-20,Saffron,51,686,455,1,0,30,3,Wednesday,Summer
2024-03-21,Saffron,32,654,504,0,0,25,3,Thursday,Summer
2024-03-22,Saffron,31,623,573,0,0,27,3,Friday,Summer
2024-03-23,Saffron,42,581,541,0,0,22,3,Saturday,Summer
2024-03-24,Saffron,73,508,589,1,0,18,3,Sunday,Summer
2024-03-25,Saffron,30,478,483,0,0,33,3,Monday,Summer
2024-03-26,Saffron,34,444,578,0,0,33,3,Tuesday,Summer
2024-03-27,Saffron,34,410,471,0,0,20,3,Wednesday,Summer
2024-03-28,Saffron,32,378,535,0,0,31,3,Thursday,Summer
2024-03-29,Saffron,30,348,543,0,0,31,3,Friday,Summer
2024-03-30,Saffron,50,298,625,0,0,24,3,Saturday,Summer
2024-03-31,Saffron,45,253,472,0,0,27,3,Sunday,Summer
2024-04-01,Saffron,46,207,629,1,0,27,4,Monday,Summer
2024-04-02,Saffron,39,168,545,0,0,18,4,Tuesday,Summer
2024-04-03,Saffron,33,881,465,0,0,33,4,Wednesday,Summer
2024-04-04,Saffron,63,818,533,1,0,29,4,Thursday,Summer
2024-04-05,Saffron,30,788,610,0,0,36,4,Friday,Summer
2024-04-06,Saffron,42,746,610,0,0,25,4,Saturday,Summer
2024-04-07,Saffron,48,698,484,0,0,34,4,Sunday,Summer
2024-04-08,Saffron,39,659,539,0,0,19,4,Monday,Summer
2024-04-09,Saffron,36,623,645,0,0,35,4,Tuesday,Summer
2024-04-10,Saffron,37,586,613,0,0,21,4,Wednesday,Summer
2024-04-11,Saffron,38,548,601,0,0,20,4,Thursday,Summer
2024-04-12,Saffron,46,502,545,1,0,22,4,Friday,Summer
2024-04-13,Saffron,44,458,548,0,0,26,4,Saturday,Summer
2024-04-14,Saffron,41,417,561,0,0,30,4,Sunday,Summer
2024-04-15,Saffron,45,372,589,1,0,26,4,Monday,Summer
2024-04-16,Saffron,56,316,477,1,0,31,4,Tuesday,Summer
2024-04-17,Saffron,33,283,532,0,0,32,4,Wednesday,Summer
2024-04-18,Saffron,34,249,548,0,0,29,4,Thursday,Summer
2024-04-19,Saffron,40,209,502,0,0,33,4,Friday,Summer
2024-04-20,Saffron,50,159,491,0,0,24,4,Saturday,Summer
2024-04-21,Saffron,53,844,524,0,0,35,4,Sunday,Summer
2024-04-22,Saffron,39,805,635,0,0,29,4,Monday,Summer
2024-04-23,Saffron,53,752,623,1,0,30,4,Tuesday,Summer
2024-04-24,Saffron,38,714,627,0,0,19,4,Wednesday,Summer
2024-04-25,Saffron,34,680,615,0,0,36,4,Thursday,Summer
2024-04-26,Saffron,30,650,535,0,0,37,4,Friday,Summer
2024-04-27,Saffron,61,589,485,1,0,23,4,Saturday,Summer
2024-04-28,Saffron,45,544,616,0,0,27,4,Sunday,Summer
2024-04-29,Saffron,50,494,622,1,0,30,4,Monday,Summer
2024-04-30,Saffron,39,455,597,0,0,25,4,Tuesday,Summer
2024-05-01,Saffron,38,417,616,0,0,18,5,Wednesday,Summer
2024-05-02,Saffron,38,379,640,0,0,34,5,Thursday,Summer
2024-05-03,Saffron,30,349,615,0,0,23,5,Friday,Summer
2024-05-04,Saffron,51,298,529,0,0,28,5,Saturday,Summer
2024-05-05,Saffron,44,254,469,0,0,35,5,Sunday,Summer
2024-05-06,Saffron,30,224,463,0,0,32,5,Monday,Summer
2024-05-07,Saffron,34,190,503,0,0,20,5,Tuesday,Summer
2024-05-08,Saffron,60,853,461,1,0,27,5,Wednesday,Summer
2024-05-09,Saffron,35,818,601,0,0,25,5,Thursday,Summer
2024-05-10,Saffron,33,785,539,0,0,25,5,Friday,Summer
2024-05-11,Saffron,51,734,490,0,0,21,5,Saturday,Summer
2024-05-12,Saffron,51,683,610,0,0,37,5,Sunday,Summer
2024-05-13,Saffron,32,651,583,0,0,35,5,Monday,Summer
2024-05-14,Saffron,34,617,496,0,0,19,5,Tuesday,Summer
2024-05-15,Saffron,31,586,558,0,0,22,5,Wednesday,Summer
2024-05-16,Saffron,30,556,567,0,0,18,5,Thursday,Summer
2024-05-17,Saffron,30,526,460,0,0,34,5,Friday,Summer
2024-05-18,Saffron,40,486,578,0,0,33,5,Saturday,Summer
2024-05-19,Saffron,60,426,544,1,0,22,5,Sunday,Summer
2024-05-20,Saffron,52,374,502,1,0,22,5,Monday,Summer
2024-05-21,Saffron,32,342,594,0,0,31,5,Tuesday,Summer
2024-05-22,Saffron,30,312,500,0,0,30,5,Wednesday,Summer
2024-05-23,Saffron,30,282,562,0,0,25,5,Thursday,Summer
2024-05-24,Saffron,37,245,488,0,0,19,5,Friday,Summer
2024-05-25,Saffron,53,192,499,0,0,29,5,Saturday,Summer
2024-05-26,Saffron,42,150,506,0,0,34,5,Sunday,Summer
2024-05-27,Saffron,36,679,534,0,0,31,5,Monday,Summer
2024-05-28,Saffron,53,626,641,1,0,19,5,Tuesday,Summer
2024-05-29,Saffron,31,595,531,0,0,32,5,Wednesday,Summer
2024-05-30,Saffron,31,564,501,0,0,23,5,Thursday,Summer
2024-05-31,Saffron,36,528,555,0,0,36,5,Friday,Summer
2024-06-01,Saffron,62,466,633,1,0,34,6,Saturday,Monsoon
2024-06-02,Saffron,50,416,518,0,0,19,6,Sunday,Monsoon
2024-06-03,Saffron,31,385,575,0,0,28,6,Monday,Monsoon
2024-06-04,Saffron,40,345,564,0,0,32,6,Tuesday,Monsoon
2024-06-05,Saffron,36,309,529,0,0,28,6,Wednesday,Monsoon
2024-06-06,Saffron,37,272,581,0,0,25,6,Thursday,Monsoon
2024-06-07,Saffron,38,234,644,0,0,20,6,Friday,Monsoon
2024-06-08,Saffron,41,193,596,0,0,22,6,Saturday,Monsoon
2024-06-09,Saffron,44,649,598,0,0,23,6,Sunday,Monsoon
2024-06-10,Saffron,39,610,495,0,0,19,6,Monday,Monsoon
2024-06-11,Saffron,39,571,494,0,0,26,6,Tuesday,Monsoon
2024-06-12,Saffron,38,533,505,0,0,28,6,Wednesday,Monsoon
2024-06-13,Saffron,54,479,475,1,0,21,6,Thursday,Monsoon
2024-06-14,Saffron,44,435,629,1,0,32,6,Friday,Monsoon
2024-06-15,Saffron,54,381,477,0,0,31,6,Saturday,Monsoon
2024-06-16,Saffron,54,327,463,0,0,36,6,Sunday,Monsoon
2024-06-17,Saffron,36,291,556,0,0,32,6,Monday,Monsoon
2024-06-18,Saffron,31,260,487,0,0,20,6,Tuesday,Monsoon
2024-06-19,Saffron,38,222,568,0,0,22,6,Wednesday,Monsoon
2024-06-20,Saffron,36,186,634,0,0,34,6,Thursday,Monsoon
2024-06-21,Saffron,39,671,575,0,0,29,6,Friday,Monsoon
2024-06-22,Saffron,46,625,517,0,0,27,6,Saturday,Monsoon
2024-06-23,Saffron,41,584,560,0,0,21,6,Sunday,Monsoon
2024-06-24,Saffron,31,553,560,0,0,25,6,Monday,Monsoon
2024-06-25,Saffron,32,521,491,0,0,26,6,Tuesday,Monsoon
2024-06-26,Saffron,33,488,475,0,0,19,6,Wednesday,Monsoon
2024-06-27,Saffron,40,448,558,0,0,23,6,Thursday,Monsoon
2024-06-28,Saffron,30,418,630,0,0,23,6,Friday,Monsoon
2024-06-29,Saffron,46,372,543,0,0,28,6,Saturday,Monsoon
2024-06-30,Saffron,65,307,480,1,0,25,6,Sunday,Monsoon
2024-07-01,Saffron,37,270,455,0,0,19,7,Monday,Monsoon
2024-07-02,Saffron,40,230,453,0,0,32,7,Tuesday,Monsoon
2024-07-03,Saffron,49,181,628,1,0,19,7,Wednesday,Monsoon
2024-07-04,Saffron,37,816,475,0,0,36,7,Thursday,Monsoon
2024-07-05,Saffron,35,781,603,0,0,21,7,Friday,Monsoon
2024-07-06,Saffron,43,738,562,0,0,29,7,Saturday,Monsoon
2024-07-07,Saffron,43,695,486,0,0,28,7,Sunday,Monsoon
2024-07-08,Saffron,64,631,452,1,0,18,7,Monday,Monsoon
2024-07-09,Saffron,37,594,459,0,0,22,7,Tuesday,Monsoon
2024-07-10,Saffron,31,563,462,0,0,25,7,Wednesday,Monsoon
2024-07-11,Saffron,46,517,522,1,0,34,7,Thursday,Monsoon
2024-07-12,Saffron,37,480,487,0,0,20,7,Friday,Monsoon
2024-07-13,Saffron,62,418,527,1,0,28,7,Saturday,Monsoon
2024-07-14,Saffron,48,370,484,0,0,18,7,Sunday,Monsoon
2024-07-15,Saffron,35,335,509,0,0,25,7,Monday,Monsoon
2024-07-16,Saffron,48,287,614,1,0,22,7,Tuesday,Monsoon
2024-07-17,Saffron,39,248,511,0,0,21,7,Wednesday,Monsoon
2024-07-18,Saffron,39,209,538,0,0,35,7,Thursday,Monsoon
2024-07-19,Saffron,55,154,463,1,0,36,7,Friday,Monsoon
2024-07-20,Saffron,43,835,602,0,0,34,7,Saturday,Monsoon
2024-07-21,Saffron,48,787,553,0,0,25,7,Sunday,Monsoon
2024-07-22,Saffron,32,755,647,0,0,23,7,Monday,Monsoon
2024-07-23,Saffron,32,723,649,0,0,27,7,Tuesday,Monsoon
2024-07-24,Saffron,30,693,604,0,0,21,7,Wednesday,Monsoon
2024-07-25,Saffron,50,643,604,1,0,18,7,Thursday,Monsoon
2024-07-26,Saffron,35,608,515,0,0,27,7,Friday,Monsoon
2024-07-27,Saffron,59,549,487,1,0,30,7,Saturday,Monsoon
2024-07-28,Saffron,44,505,633,0,0,32,7,Sunday,Monsoon
2024-07-29,Saffron,34,471,606,0,0,32,7,Monday,Monsoon
2024-07-30,Saffron,31,440,604,0,0,36,7,Tuesday,Monsoon
2024-07-31,Saffron,33,407,475,0,0,28,7,Wednesday,Monsoon
2024-08-01,Saffron,33,374,460,0,0,27,8,Thursday,Monsoon
2024-08-02,Saffron,35,339,649,0,0,32,8,Friday,Monsoon
2024-08-03,Saffron,79,260,590,1,0,25,8,Saturday,Monsoon
2024-08-04,Saffron,46,214,509,0,0,28,8,Sunday,Monsoon
2024-08-05,Saffron,48,166,582,1,0,22,8,Monday,Monsoon
2024-08-06,Saffron,39,677,541,0,0,26,8,Tuesday,Monsoon
2024-08-07,Saffron,37,640,490,0,0,28,8,Wednesday,Monsoon
2024-08-08,Saffron,34,606,598,0,0,31,8,Thursday,Monsoon
2024-08-09,Saffron,36,570,506,0,0,18,8,Friday,Monsoon
2024-08-10,Saffron,50,520,592,0,0,32,8,Saturday,Monsoon
2024-08-11,Saffron,55,465,629,0,0,26,8,Sunday,Monsoon
2024-08-12,Saffron,33,432,474,0,0,28,8,Monday,Monsoon
2024-08-13,Saffron,49,383,611,1,0,34,8,Tuesday,Monsoon
2024-08-14,Saffron,40,343,557,0,0,36,8,Wednesday,Monsoon
2024-08-15,Saffron,38,305,648,0,0,37,8,Thursday,Monsoon
2024-08-16,Saffron,37,268,610,0,0,34,8,Friday,Monsoon
2024-08-17,Saffron,44,224,498,0,0,24,8,Saturday,Monsoon
2024-08-18,Saffron,53,171,567,1,0,25,8,Sunday,Monsoon
2024-08-19,Saffron,30,1019,590,0,0,36,8,Monday,Monsoon
2024-08-20,Saffron,30,989,622,0,0,33,8,Tuesday,Monsoon
2024-08-21,Saffron,31,958,450,0,0,31,8,Wednesday,Monsoon
2024-08-22,Saffron,31,927,643,0,0,34,8,Thursday,Monsoon
2024-08-23,Saffron,35,892,628,0,0,21,8,Friday,Monsoon
2024-08-24,Saffron,44,848,552,0,0,20,8,Saturday,Monsoon
2024-08-25,Saffron,48,800,573,0,0,18,8,Sunday,Monsoon
2024-08-26,Saffron,31,769,584,0,0,25,8,Monday,Monsoon
2024-08-27,Saffron,36,733,516,0,0,25,8,Tuesday,Monsoon
2024-08-28,Saffron,34,699,516,0,0,36,8,Wednesday,Monsoon
2024-08-29,Saffron,37,662,611,0,0,20,8,Thursday,Monsoon
2024-08-30,Saffron,37,625,495,0,0,28,8,Friday,Monsoon
2024-08-31,Saffron,62,563,591,1,0,33,8,Saturday,Monsoon
2024-09-01,Saffron,45,518,610,0,0,36,9,Sunday,Autumn
2024-09-02,Saffron,32,486,485,0,0,35,9,Monday,Autumn
2024-09-03,Saffron,49,437,460,1,0,27,9,Tuesday,Autumn
2024-09-04,Saffron,50,387,568,1,0,29,9,Wednesday,Autumn
2024-09-05,Saffron,51,336,586,1,0,19,9,Thursday,Autumn
2024-09-06,Saffron,47,289,535,1,0,29,9,Friday,Autumn
2024-09-07,Saffron,52,237,508,0,0,31,9,Saturday,Autumn
2024-09-08,Saffron,44,193,563,0,0,36,9,Sunday,Autumn
2024-09-09,Saffron,38,155,489,0,0,19,9,Monday,Autumn
2024-09-10,Saffron,36,622,471,0,0,28,9,Tuesday,Autumn
2024-09-11,Saffron,31,591,486,0,0,28,9,Wednesday,Autumn
2024-09-12,Saffron,55,536,549,1,0,26,9,Thursday,Autumn
2024-09-13,Saffron,30,506,614,0,0,23,9,Friday,Autumn
2024-09-14,Saffron,51,455,555,0,0,23,9,Saturday,Autumn
2024-09-15,Saffron,53,402,502,0,0,24,9,Sunday,Autumn
2024-09-16,Saffron,30,372,603,0,0,31,9,Monday,Autumn
2024-09-17,Saffron,35,337,556,0,0,18,9,Tuesday,Autumn
2024-09-18,Saffron,33,304,564,0,0,28,9,Wednesday,Autumn
2024-09-19,Saffron,33,271,562,0,0,24,9,Thursday,Autumn
2024-09-20,Saffron,35,236,547,0,0,32,9,Friday,Autumn
2024-09-21,Saffron,68,168,482,1,0,21,9,Saturday,Autumn
2024-09-22,Saffron,44,824,530,0,0,30,9,Sunday,Autumn
2024-09-23,Saffron,34,790,522,0,0,26,9,Monday,Autumn
2024-09-24,Saffron,30,760,510,0,0,28,9,Tuesday,Autumn
2024-09-25,Saffron,38,722,488,0,0,20,9,Wednesday,Autumn
2024-09-26,Saffron,48,674,551,1,0,19,9,Thursday,Autumn
2024-09-27,Saffron,34,640,493,0,0,34,9,Friday,Autumn
2024-09-28,Saffron,56,584,496,1,0,29,9,Saturday,Autumn
2024-09-29,Saffron,49,535,530,0,0,22,9,Sunday,Autumn
2024-09-30,Saffron,35,500,649,0,0,35,9,Monday,Autumn
2024-10-01,Saffron,91,409,558,0,1,32,10,Tuesday,Autumn
2024-10-02,Saffron,78,331,475,0,1,24,10,Wednesday,Autumn
2024-10-03,Saffron,90,241,564,0,1,33,10,Thursday,Autumn
2024-10-04,Saffron,92,751,616,1,1,20,10,Friday,Autumn
2024-10-05,Saffron,87,664,580,0,1,22,10,Saturday,Autumn
2024-10-06,Saffron,96,568,453,0,1,30,10,Sunday,Autumn
2024-10-07,Saffron,91,477,619,1,1,19,10,Monday,Autumn
2024-10-08,Saffron,87,390,488,0,1,31,10,Tuesday,Autumn
2024-10-09,Saffron,91,299,465,0,1,29,10,Wednesday,Autumn
2024-10-10,Saffron,91,208,533,0,1,22,10,Thursday,Autumn
2024-10-11,Saffron,72,959,607,0,1,35,10,Friday,Autumn
2024-10-12,Saffron,80,879,522,0,1,32,10,Saturday,Autumn
2024-10-13,Saffron,87,792,510,0,1,22,10,Sunday,Autumn
2024-10-14,Saffron,86,706,512,0,1,31,10,Monday,Autumn
2024-10-15,Saffron,100,606,501,1,1,21,10,Tuesday,Autumn
2024-10-16,Saffron,93,513,559,1,1,27,10,Wednesday,Autumn
2024-10-17,Saffron,90,423,452,0,1,23,10,Thursday,Autumn
2024-10-18,Saffron,73,350,458,0,1,20,10,Friday,Autumn
2024-10-19,Saffron,101,249,627,0,1,35,10,Saturday,Autumn
2024-10-20,Saffron,105,1041,522,1,1,21,10,Sunday,Autumn
2024-10-21,Saffron,82,959,516,0,1,26,10,Monday,Autumn
2024-10-22,Saffron,105,854,489,1,1,22,10,Tuesday,Autumn
2024-10-23,Saffron,85,769,521,0,1,22,10,Wednesday,Autumn
2024-10-24,Saffron,87,682,509,0,1,33,10,Thursday,Autumn
2024-10-25,Saffron,100,582,489,1,1,30,10,Friday,Autumn
2024-10-26,Saffron,83,499,540,0,1,30,10,Saturday,Autumn
2024-10-27,Saffron,83,416,508,0,1,33,10,Sunday,Autumn
2024-10-28,Saffron,83,333,619,0,1,21,10,Monday,Autumn
2024-10-29,Saffron,82,251,494,0,1,36,10,Tuesday,Autumn
2024-10-30,Saffron,82,169,608,0,1,35,10,Wednesday,Autumn
2024-10-31,Saffron,73,750,462,0,1,31,10,Thursday,Autumn
2024-11-01,Saffron,87,663,637,0,1,30,11,Friday,Autumn
2024-11-02,Saffron,103,560,512,0,1,32,11,Saturday,Autumn
2024-11-03,Saffron,82,478,517,0,1,34,11,Sunday,Autumn
2024-11-04,Saffron,88,390,642,0,1,35,11,Monday,Autumn
2024-11-05,Saffron,113,277,629,1,1,29,11,Tuesday,Autumn
2024-11-06,Saffron,74,203,560,0,1,32,11,Wednesday,Autumn
2024-11-07,Saffron,83,904,623,0,1,19,11,Thursday,Autumn
2024-11-08,Saffron,80,824,464,0,1,28,11,Friday,Autumn
2024-11-09,Saffron,83,741,476,0,1,20,11,Saturday,Autumn
2024-11-10,Saffron,90,651,636,0,1,37,11,Sunday,Autumn
2024-11-11,Saffron,74,577,450,0,1,23,11,Monday,Autumn
2024-11-12,Saffron,79,498,474,0,1,29,11,Tuesday,Autumn
2024-11-13,Saffron,92,406,594,0,1,25,11,Wednesday,Autumn
2024-11-14,Saffron,81,325,648,0,1,20,11,Thursday,Autumn
2024-11-15,Saffron,85,240,597,0,1,31,11,Friday,Autumn
2024-11-16,Saffron,98,960,458,0,1,23,11,Saturday,Autumn
2024-11-17,Saffron,84,876,470,0,1,35,11,Sunday,Autumn
2024-11-18,Saffron,101,775,551,1,1,26,11,Monday,Autumn
2024-11-19,Saffron,79,696,490,0,1,34,11,Tuesday,Autumn
2024-11-20,Saffron,99,597,610,1,1,27,11,Wednesday,Autumn
2024-11-21,Saffron,71,526,482,0,1,26,11,Thursday,Autumn
2024-11-22,Saffron,87,439,599,0,1,24,11,Friday,Autumn
2024-11-23,Saffron,87,352,592,0,1,19,11,Saturday,Autumn
2024-11-24,Saffron,103,249,583,0,1,26,11,Sunday,Autumn
2024-11-25,Saffron,77,172,457,0,1,25,11,Monday,Autumn
2024-11-26,Saffron,101,697,583,1,1,20,11,Tuesday,Autumn
2024-11-27,Saffron,77,620,461,0,1,29,11,Wednesday,Autumn
2024-11-28,Saffron,86,534,596,0,1,31,11,Thursday,Autumn
2024-11-29,Saffron,76,458,632,0,1,36,11,Friday,Autumn
2024-11-30,Saffron,86,372,545,0,1,26,11,Saturday,Autumn
2024-12-01,Saffron,42,330,484,0,0,32,12,Sunday,Winter
2024-12-02,Saffron,30,300,543,0,0,37,12,Monday,Winter
2024-12-03,Saffron,33,267,637,0,0,35,12,Tuesday,Winter
2024-12-04,Saffron,53,214,566,1,0,19,12,Wednesday,Winter
2024-12-05,Saffron,31,183,528,0,0,19,12,Thursday,Winter
2024-12-06,Saffron,36,1017,619,0,0,36,12,Friday,Winter
2024-12-07,Saffron,72,945,467,1,0,25,12,Saturday,Winter
2024-12-08,Saffron,44,901,475,0,0,25,12,Sunday,Winter
2024-12-09,Saffron,36,865,491,0,0,29,12,Monday,Winter
2024-12-10,Saffron,31,834,568,0,0,22,12,Tuesday,Winter
2024-12-11,Saffron,62,772,511,1,0,32,12,Wednesday,Winter
2024-12-12,Saffron,36,736,533,0,0,19,12,Thursday,Winter
2024-12-13,Saffron,30,706,572,0,0,19,12,Friday,Winter
2024-12-14,Saffron,40,666,617,0,0,29,12,Saturday,Winter
2024-12-15,Saffron,51,615,496,0,0,28,12,Sunday,Winter
2024-12-16,Saffron,56,559,542,1,0,27,12,Monday,Winter
2024-12-17,Saffron,38,521,450,0,0,22,12,Tuesday,Winter
2024-12-18,Saffron,40,481,450,0,0,37,12,Wednesday,Winter
2024-12-19,Saffron,40,441,614,0,0,32,12,Thursday,Winter
2024-12-20,Saffron,34,407,498,0,0,34,12,Friday,Winter
2024-12-21,Saffron,73,334,557,1,0,37,12,Saturday,Winter
2024-12-22,Saffron,63,271,469,1,0,18,12,Sunday,Winter
2024-12-23,Saffron,35,236,508,0,0,22,12,Monday,Winter
2024-12-24,Saffron,32,204,461,0,0,27,12,Tuesday,Winter
2024-12-25,Saffron,31,173,492,0,0,19,12,Wednesday,Winter
2024-12-26,Saffron,38,812,488,0,0,32,12,Thursday,Winter
2024-12-27,Saffron,35,777,533,0,0,30,12,Friday,Winter
2024-12-28,Saffron,50,727,573,0,0,25,12,Saturday,Winter
2024-12-29,Saffron,45,682,457,0,0,23,12,Sunday,Winter
2024-12-30,Saffron,48,634,642,1,0,28,12,Monday,Winter
2024-12-31,Saffron,31,603,594,0,0,25,12,Tuesday,Winter
2025-01-01,Saffron,52,551,521,1,0,31,1,Wednesday,Winter
2025-01-02,Saffron,44,507,480,1,0,33,1,Thursday,Winter
2025-01-03,Saffron,54,453,539,1,0,19,1,Friday,Winter
2025-01-04,Saffron,47,406,610,0,0,26,1,Saturday,Winter
2025-01-05,Saffron,70,336,526,1,0,26,1,Sunday,Winter
2025-01-06,Saffron,31,305,574,0,0,23,1,Monday,Winter
2025-01-07,Saffron,35,270,468,0,0,23,1,Tuesday,Winter
2025-01-08,Saffron,62,208,472,1,0,36,1,Wednesday,Winter
2025-01-09,Saffron,49,159,503,1,0,24,1,Thursday,Winter
2025-01-10,Saffron,30,771,525,0,0,24,1,Friday,Winter
2025-01-11,Saffron,50,721,610,0,0,34,1,Saturday,Winter
2025-01-12,Saffron,43,678,460,0,0,20,1,Sunday,Winter
2025-01-13,Saffron,39,639,643,0,0,31,1,Monday,Winter
2025-01-14,Saffron,34,605,475,0,0,25,1,Tuesday,Winter
2025-01-15,Saffron,35,570,605,0,0,29,1,Wednesday,Winter
2025-01-16,Saffron,34,536,493,0,0,21,1,Thursday,Winter
2025-01-17,Saffron,36,500,519,0,0,31,1,Friday,Winter
2025-01-18,Saffron,49,451,470,0,0,28,1,Saturday,Winter
2025-01-19,Saffron,68,383,485,1,0,28,1,Sunday,Winter
2025-01-20,Saffron,33,350,470,0,0,30,1,Monday,Winter
2025-01-21,Saffron,31,319,527,0,0,21,1,Tuesday,Winter
2025-01-22,Saffron,33,286,476,0,0,32,1,Wednesday,Winter
2025-01-23,Saffron,37,249,593,0,0,27,1,Thursday,Winter
